payment_ref,invoice_no,vendor_id,vendor_category,business_unit,transaction_date,amount,is_duplicate,post_migration,treated_bu,flag_r1,flag_r2,flag_r3,duplicate_score,predicted_duplicate
PMT-003579,INV-73263,V1033,Consulting,BU_South,2023-02-03,27361.22,0,0,1,0,0,0,0,0
PMT-004092,INV-97418,V1027,Consulting,BU_North,2023-02-03,6242.53,0,0,1,0,0,0,0,0
PMT-005077,INV-65020,V1075,Logistics,BU_Central,2023-02-03,4923.03,0,0,0,0,0,0,0,0
PMT-001595,INV-36248,V1043,Facilities,BU_East,2023-02-03,8422.71,0,0,0,0,0,0,0,0
PMT-000740,INV-26880,V1056,Facilities,BU_South,2023-02-03,8139.89,0,0,1,0,0,0,0,0
PMT-014100,INV-66612,V1059,Logistics,BU_Central,2023-02-03,9084.62,0,0,0,0,0,0,0,0
PMT-010485,INV-46604,V1060,Consulting,BU_Central,2023-02-03,32459.77,0,0,0,0,0,0,0,0
PMT-014243,INV-67576,V1049,Office Supplies,BU_Central,2023-02-03,3954.36,0,0,0,0,0,0,0,0
PMT-008127,INV-76115,V1069,Consulting,BU_East,2023-02-03,7553.93,0,0,0,0,0,0,0,0
PMT-000020,INV-51245,V1072,Facilities,BU_South,2023-02-03,7094.94,0,0,1,0,0,0,0,0
PMT-010856,INV-38819,V1073,Logistics,BU_North,2023-02-03,11900.11,0,0,1,0,0,0,0,0
PMT-011082,INV-58563,V1002,Facilities,BU_South,2023-02-03,5297.82,0,0,1,0,0,0,0,0
PMT-005225,INV-45153,V1076,IT Services,BU_North,2023-02-03,40698.63,0,0,1,0,0,0,0,0
PMT-005548,INV-32962,V1029,Logistics,BU_West,2023-02-03,7587.63,0,0,0,0,0,0,0,0
PMT-013379,INV-12813,V1075,Office Supplies,BU_East,2023-02-04,3341.16,0,0,0,0,0,0,0,0
PMT-013657,INV-61501,V1069,Consulting,BU_Central,2023-02-04,9215.92,0,0,0,0,0,0,0,0
PMT-009320,INV-45011,V1025,Logistics,BU_South,2023-02-04,12580.5,0,0,1,0,0,0,0,0
PMT-001551,INV-72978,V1074,Consulting,BU_Central,2023-02-04,7353.4,0,0,0,0,0,0,0,0
PMT-005982,INV-30987,V1073,Office Supplies,BU_South,2023-02-04,1893.91,0,0,1,0,0,0,0,0
PMT-012575,INV-97928,V1011,Consulting,BU_West,2023-02-04,10223.6,0,0,0,0,0,0,0,0
PMT-003534,INV-16834,V1079,Consulting,BU_South,2023-02-04,4612.0,0,0,1,0,0,0,0,0
PMT-003546,INV-70394,V1036,Office Supplies,BU_West,2023-02-04,909.21,0,0,0,0,0,0,0,0
PMT-013557,INV-21763,V1010,Office Supplies,BU_East,2023-02-04,4979.04,0,0,0,0,0,0,0,0
PMT-002290,INV-46500,V1093,Logistics,BU_North,2023-02-04,14671.85,0,0,1,0,0,0,0,0
PMT-001602,INV-60152,V1022,Consulting,BU_West,2023-02-04,12111.56,0,0,0,0,0,0,0,0
PMT-009288,INV-45744,V1053,Logistics,BU_East,2023-02-04,3243.2,0,0,0,0,0,0,0,0
PMT-000377,INV-92346,V1084,IT Services,BU_East,2023-02-04,52078.1,0,0,0,0,0,0,0,0
PMT-004138,INV-92716,V1090,Consulting,BU_Central,2023-02-04,27470.8,0,0,0,0,0,0,0,0
PMT-009036,INV-90976,V1073,Office Supplies,BU_South,2023-02-04,4238.57,0,0,1,0,0,0,0,0
PMT-004833,INV-79349,V1006,IT Services,BU_North,2023-02-04,27908.32,0,0,1,0,0,0,0,0
PMT-014140,INV-36828,V1078,Consulting,BU_South,2023-02-04,8353.57,0,0,1,0,0,0,0,0
PMT-013914,INV-69623,V1049,Logistics,BU_North,2023-02-04,11837.5,0,0,1,0,0,0,0,0
PMT-013179,INV-53551,V1081,IT Services,BU_South,2023-02-04,14030.82,0,0,1,0,0,0,0,0
PMT-006378,INV-71665,V1079,IT Services,BU_South,2023-02-04,54249.27,0,0,1,0,0,0,0,0
PMT-000288,INV-66606,V1011,Consulting,BU_North,2023-02-04,43531.09,0,0,1,0,0,0,0,0
PMT-006895,INV-75960,V1057,IT Services,BU_East,2023-02-04,60620.66,0,0,0,0,0,0,0,0
PMT-014964,INV-46862,V1016,Facilities,BU_North,2023-02-04,3328.78,0,0,1,0,0,0,0,0
PMT-014246,INV-33369,V1061,IT Services,BU_East,2023-02-04,73920.96,0,0,0,0,0,0,0,0
PMT-003464,INV-84207,V1009,Logistics,BU_West,2023-02-04,6642.54,0,0,0,0,0,0,0,0
PMT-007180,INV-33342,V1016,Consulting,BU_East,2023-02-04,44192.18,0,0,0,0,0,0,0,0
PMT-007374,INV-31227,V1083,IT Services,BU_Central,2023-02-04,39297.48,0,0,0,0,0,0,0,0
PMT-009537,INV-34235,V1038,IT Services,BU_Central,2023-02-04,30512.82,0,0,0,0,0,0,0,0
PMT-014062,INV-47461,V1001,IT Services,BU_South,2023-02-04,58525.41,0,0,1,0,0,0,0,0
PMT-011596,INV-67741,V1062,IT Services,BU_Central,2023-02-04,60329.06,0,0,0,0,0,0,0,0
PMT-000553,INV-69770,V1064,Office Supplies,BU_South,2023-02-04,4977.09,0,0,1,0,0,0,0,0
PMT-005154,INV-81891,V1026,Facilities,BU_South,2023-02-04,9153.92,0,0,1,0,0,0,0,0
PMT-000806,INV-82358,V1050,IT Services,BU_North,2023-02-04,71005.93,0,0,1,0,0,0,0,0
PMT-006745,INV-28159,V1050,IT Services,BU_Central,2023-02-04,22798.56,0,0,0,0,0,0,0,0
PMT-012788,INV-92113,V1030,Consulting,BU_North,2023-02-04,3994.78,0,0,1,0,0,0,0,0
PMT-009107,INV-52416,V1055,IT Services,BU_Central,2023-02-04,9043.75,0,0,0,0,0,0,0,0
PMT-003572,INV-53273,V1048,Facilities,BU_South,2023-02-04,7926.99,0,0,1,0,0,0,0,0
PMT-011472,INV-74239,V1008,IT Services,BU_South,2023-02-04,27613.59,0,0,1,0,0,0,0,0
PMT-013795,INV-74773,V1018,Facilities,BU_West,2023-02-05,9241.76,0,0,0,0,0,0,0,0
PMT-011438,INV-89338,V1085,Logistics,BU_East,2023-02-05,11205.52,0,0,0,0,0,0,0,0
PMT-002471,INV-50258,V1087,IT Services,BU_East,2023-02-05,30638.68,0,0,0,0,0,0,0,0
PMT-010095,INV-16195,V1021,Consulting,BU_West,2023-02-05,36303.89,0,0,0,0,0,0,0,0
PMT-005714,INV-43330,V1094,IT Services,BU_Central,2023-02-05,12515.85,0,0,0,0,0,0,0,0
PMT-001591,INV-33500,V1047,Facilities,BU_West,2023-02-05,1815.97,0,0,0,0,0,0,0,0
PMT-011843,INV-55702,V1024,Consulting,BU_Central,2023-02-05,13483.3,0,0,0,0,0,0,0,0
PMT-011152,INV-10034,V1024,Office Supplies,BU_East,2023-02-05,2699.63,0,0,0,0,0,0,0,0
PMT-012186,INV-31031,V1034,IT Services,BU_East,2023-02-05,68030.38,0,0,0,0,0,0,0,0
PMT-000676,INV-95199,V1078,Logistics,BU_Central,2023-02-05,13138.44,0,0,0,0,0,0,0,0
PMT-010624,INV-97948,V1004,Consulting,BU_Central,2023-02-05,47228.61,0,0,0,0,0,0,0,0
PMT-006169,INV-61967,V1045,Logistics,BU_South,2023-02-05,3636.86,0,0,1,0,0,0,0,0
PMT-006487,INV-86665,V1039,Consulting,BU_North,2023-02-05,41305.37,0,0,1,0,0,0,0,0
PMT-002073,INV-47793,V1083,Logistics,BU_West,2023-02-05,13857.57,0,0,0,0,0,0,0,0
PMT-003266,INV-98784,V1038,Office Supplies,BU_South,2023-02-05,2995.79,0,0,1,0,0,0,0,0
PMT-001980,INV-11447,V1066,Office Supplies,BU_West,2023-02-05,727.8,0,0,0,0,0,0,0,0
PMT-010365,INV-38703,V1065,Office Supplies,BU_South,2023-02-05,4931.34,0,0,1,0,0,0,0,0
PMT-001983,INV-27030,V1026,Facilities,BU_West,2023-02-05,903.98,0,0,0,0,0,0,0,0
PMT-000062,INV-62923,V1030,Office Supplies,BU_Central,2023-02-05,1931.02,0,0,0,0,0,0,0,0
PMT-007359,INV-90003,V1014,IT Services,BU_South,2023-02-05,74947.25,0,0,1,0,0,0,0,0
PMT-012585,INV-24585,V1062,Logistics,BU_North,2023-02-05,14392.89,0,0,1,0,0,0,0,0
PMT-004911,INV-91717,V1013,Office Supplies,BU_West,2023-02-05,3363.68,0,0,0,0,0,0,0,0
PMT-003689,INV-10525,V1075,Facilities,BU_North,2023-02-05,5651.26,0,0,1,0,0,0,0,0
PMT-008203,INV-87019,V1004,Logistics,BU_East,2023-02-05,13310.57,0,0,0,0,0,0,0,0
PMT-010020,INV-42683,V1035,Logistics,BU_South,2023-02-05,13525.54,0,0,1,0,0,0,0,0
PMT-002448,INV-49452,V1053,Office Supplies,BU_West,2023-02-05,2240.63,0,0,0,0,0,0,0,0
PMT-010355,INV-18180,V1025,Office Supplies,BU_West,2023-02-05,2889.81,0,0,0,0,0,0,0,0
PMT-005046,INV-95834,V1003,Office Supplies,BU_East,2023-02-05,1495.74,0,0,0,0,0,0,0,0
PMT-004596,INV-55757,V1099,Consulting,BU_East,2023-02-05,45487.14,1,0,0,0,1,1,2,1
PMT-004366,INV-57178,V1027,Consulting,BU_West,2023-02-05,11276.2,0,0,0,0,0,0,0,0
PMT-005290,INV-23118,V1043,IT Services,BU_West,2023-02-05,14552.9,0,0,0,0,0,0,0,0
PMT-006279,INV-41469,V1018,Consulting,BU_Central,2023-02-05,35099.33,0,0,0,0,0,0,0,0
PMT-009439,INV-87370,V1082,IT Services,BU_North,2023-02-05,12874.28,0,0,1,0,0,0,0,0
PMT-011016,INV-72024,V1015,Facilities,BU_Central,2023-02-06,1308.77,0,0,0,0,0,0,0,0
PMT-004354,INV-11927,V1087,Logistics,BU_West,2023-02-06,11416.69,0,0,0,0,0,0,0,0
PMT-006315,INV-99679,V1012,IT Services,BU_West,2023-02-06,48133.44,0,0,0,0,0,0,0,0
PMT-006448,INV-77803,V1031,Consulting,BU_West,2023-02-06,20626.91,0,0,0,0,0,0,0,0
PMT-009916,INV-66732,V1080,IT Services,BU_West,2023-02-06,66997.79,0,0,0,0,0,0,0,0
PMT-003419,INV-49696,V1051,IT Services,BU_East,2023-02-06,32497.83,0,0,0,0,0,0,0,0
PMT-005418,INV-36755,V1002,IT Services,BU_South,2023-02-06,43001.84,0,0,1,0,0,0,0,0
PMT-005126,INV-82096,V1046,Logistics,BU_West,2023-02-06,10786.38,0,0,0,0,0,0,0,0
PMT-012774,INV-11412,V1096,Consulting,BU_East,2023-02-06,15230.53,0,0,0,0,0,0,0,0
PMT-008565,INV-85133,V1036,IT Services,BU_West,2023-02-06,35756.73,0,0,0,0,0,0,0,0
PMT-006443,INV-87047,V1068,Consulting,BU_West,2023-02-06,8355.09,0,0,0,0,0,0,0,0
PMT-003205,INV-18716,V1062,Office Supplies,BU_North,2023-02-06,2804.4,0,0,1,0,0,0,0,0
PMT-007092,INV-12751,V1017,Logistics,BU_Central,2023-02-06,13252.62,0,0,0,0,0,0,0,0
PMT-011353,INV-89023,V1019,Logistics,BU_South,2023-02-06,11763.97,0,0,1,0,0,0,0,0
PMT-009287,INV-85307,V1029,Logistics,BU_West,2023-02-06,2916.82,0,0,0,0,0,0,0,0
PMT-003774,INV-20506,V1069,Consulting,BU_West,2023-02-06,39637.99,0,0,0,0,0,0,0,0
PMT-003463,INV-29058,V1065,Consulting,BU_South,2023-02-06,31930.97,0,0,1,0,0,0,0,0
PMT-012704,INV-49742,V1052,IT Services,BU_South,2023-02-06,21476.22,0,0,1,0,0,0,0,0
PMT-004568,INV-62598,V1022,Consulting,BU_South,2023-02-06,39500.52,0,0,1,0,0,0,0,0
PMT-004575,INV-54855,V1086,Logistics,BU_North,2023-02-06,6728.75,0,0,1,0,0,0,0,0
PMT-007001,INV-70558,V1030,Consulting,BU_South,2023-02-06,6439.23,0,0,1,0,0,0,0,0
PMT-005448,INV-83054,V1088,Logistics,BU_West,2023-02-06,9570.93,0,0,0,0,0,0,0,0
PMT-000185,INV-87304,V1080,Facilities,BU_South,2023-02-06,2601.28,0,0,1,0,0,0,0,0
PMT-005662,INV-51140,V1040,IT Services,BU_West,2023-02-06,22392.58,0,0,0,0,0,0,0,0
PMT-000045,INV-73624,V1085,IT Services,BU_Central,2023-02-06,71540.96,0,0,0,0,0,0,0,0
PMT-DUP-000198,INV-55757,V1099,Consulting,BU_East,2023-02-06,45487.14,1,0,0,1,1,1,3,1
PMT-007418,INV-53292,V1077,IT Services,BU_South,2023-02-06,57619.95,0,0,1,0,0,0,0,0
PMT-007434,INV-89711,V1046,Facilities,BU_East,2023-02-06,7017.28,0,0,0,0,0,0,0,0
PMT-000044,INV-53309,V1004,IT Services,BU_North,2023-02-06,59720.46,0,0,1,0,0,0,0,0
PMT-006282,INV-23124,V1040,Consulting,BU_North,2023-02-06,34874.58,0,0,1,0,0,0,0,0
PMT-006347,INV-78885,V1027,Logistics,BU_North,2023-02-06,8209.26,0,0,1,0,0,0,0,0
PMT-014829,INV-13680,V1048,IT Services,BU_South,2023-02-06,71277.49,0,0,1,0,0,0,0,0
PMT-010950,INV-96120,V1047,Office Supplies,BU_West,2023-02-06,957.95,0,0,0,0,0,0,0,0
PMT-005611,INV-52610,V1032,IT Services,BU_West,2023-02-06,9922.1,0,0,0,0,0,0,0,0
PMT-002923,INV-80430,V1091,Facilities,BU_West,2023-02-06,8836.52,0,0,0,0,0,0,0,0
PMT-010490,INV-12223,V1057,Logistics,BU_West,2023-02-06,5005.57,0,0,0,0,0,0,0,0
PMT-009086,INV-97148,V1090,Office Supplies,BU_Central,2023-02-06,3621.03,0,0,0,0,0,0,0,0
PMT-002579,INV-49089,V1066,Office Supplies,BU_Central,2023-02-06,1328.2,0,0,0,0,0,0,0,0
PMT-010829,INV-20413,V1044,Logistics,BU_North,2023-02-06,7852.23,1,0,1,0,1,1,2,1
PMT-007814,INV-82803,V1049,Consulting,BU_South,2023-02-06,31610.33,0,0,1,0,0,0,0,0
PMT-008832,INV-65807,V1001,Logistics,BU_East,2023-02-06,14626.3,0,0,0,0,0,0,0,0
PMT-007862,INV-35864,V1073,IT Services,BU_Central,2023-02-07,62563.0,0,0,0,0,0,0,0,0
PMT-005912,INV-91534,V1013,Consulting,BU_North,2023-02-07,23508.51,0,0,1,0,0,0,0,0
PMT-000328,INV-17456,V1004,Logistics,BU_East,2023-02-07,7043.23,0,0,0,0,0,0,0,0
PMT-011494,INV-75223,V1051,Consulting,BU_West,2023-02-07,14861.51,0,0,0,0,0,0,0,0
PMT-014121,INV-72469,V1095,IT Services,BU_North,2023-02-07,69894.67,0,0,1,0,0,0,0,0
PMT-004642,INV-58625,V1070,Facilities,BU_South,2023-02-07,7437.91,0,0,1,0,0,0,0,0
PMT-013015,INV-94597,V1017,Consulting,BU_East,2023-02-07,20470.67,0,0,0,0,0,0,0,0
PMT-002568,INV-92744,V1077,Consulting,BU_West,2023-02-07,48293.2,0,0,0,0,0,0,0,0
PMT-003948,INV-62157,V1072,Office Supplies,BU_Central,2023-02-07,2707.76,0,0,0,0,0,0,0,0
PMT-000689,INV-44365,V1001,Logistics,BU_North,2023-02-07,7234.27,0,0,1,0,0,0,0,0
PMT-000111,INV-85454,V1080,IT Services,BU_West,2023-02-07,54320.97,0,0,0,0,0,0,0,0
PMT-009839,INV-24012,V1006,Consulting,BU_South,2023-02-07,35707.05,0,0,1,0,0,0,0,0
PMT-009653,INV-45804,V1045,Logistics,BU_North,2023-02-07,11296.4,0,0,1,0,0,0,0,0
PMT-000175,INV-29887,V1006,Logistics,BU_Central,2023-02-07,6244.58,0,0,0,0,0,0,0,0
PMT-002305,INV-13956,V1020,Consulting,BU_West,2023-02-07,47945.72,0,0,0,0,0,0,0,0
PMT-011659,INV-66002,V1078,Office Supplies,BU_North,2023-02-07,3574.56,0,0,1,0,0,0,0,0
PMT-004573,INV-18820,V1084,Facilities,BU_South,2023-02-07,7552.07,0,0,1,0,0,0,0,0
PMT-012289,INV-65179,V1058,Consulting,BU_West,2023-02-07,18526.36,0,0,0,0,0,0,0,0
PMT-008999,INV-86220,V1041,IT Services,BU_South,2023-02-07,62039.92,0,0,1,0,0,0,0,0
PMT-011220,INV-45978,V1085,Logistics,BU_North,2023-02-07,5230.4,0,0,1,0,0,0,0,0
PMT-009530,INV-83765,V1070,Office Supplies,BU_Central,2023-02-07,1029.73,0,0,0,0,0,0,0,0
PMT-007081,INV-70250,V1074,Office Supplies,BU_West,2023-02-07,982.56,0,0,0,0,0,0,0,0
PMT-010392,INV-66887,V1020,Facilities,BU_Central,2023-02-07,2355.46,0,0,0,0,0,0,0,0
PMT-003737,INV-67839,V1070,Consulting,BU_North,2023-02-07,43927.47,0,0,1,0,0,0,0,0
PMT-010480,INV-17185,V1064,Office Supplies,BU_Central,2023-02-07,1924.48,0,0,0,0,0,0,0,0
PMT-003854,INV-23100,V1027,Facilities,BU_East,2023-02-07,5898.47,0,0,0,0,0,0,0,0
PMT-005403,INV-86468,V1072,Facilities,BU_West,2023-02-07,9874.11,0,0,0,0,0,0,0,0
PMT-009302,INV-57932,V1001,Logistics,BU_West,2023-02-07,2433.78,0,0,0,0,0,0,0,0
PMT-006090,INV-46524,V1091,Consulting,BU_North,2023-02-07,25784.57,0,0,1,0,0,0,0,0
PMT-000069,INV-27361,V1033,IT Services,BU_Central,2023-02-07,43909.3,0,0,0,0,0,0,0,0
PMT-014871,INV-54009,V1045,IT Services,BU_West,2023-02-07,55577.27,0,0,0,0,0,0,0,0
PMT-013449,INV-48724,V1098,Consulting,BU_South,2023-02-07,6821.48,0,0,1,0,0,0,0,0
PMT-002413,INV-37563,V1009,Facilities,BU_West,2023-02-07,5809.91,0,0,0,0,0,0,0,0
PMT-002673,INV-92684,V1052,Facilities,BU_East,2023-02-07,9638.87,0,0,0,0,0,0,0,0
PMT-005874,INV-38546,V1042,Office Supplies,BU_South,2023-02-08,525.17,0,0,1,0,0,0,0,0
PMT-002338,INV-22767,V1063,Logistics,BU_South,2023-02-08,6708.89,0,0,1,0,0,0,0,0
PMT-002695,INV-46190,V1042,IT Services,BU_East,2023-02-08,47839.94,0,0,0,0,0,0,0,0
PMT-014696,INV-48836,V1005,Consulting,BU_Central,2023-02-08,14215.42,0,0,0,0,0,0,0,0
PMT-006398,INV-51721,V1025,Office Supplies,BU_North,2023-02-08,2361.4,0,0,1,0,0,0,0,0
PMT-000724,INV-96827,V1055,Logistics,BU_Central,2023-02-08,10696.76,0,0,0,0,0,0,0,0
PMT-001895,INV-50737,V1042,IT Services,BU_South,2023-02-08,13903.18,0,0,1,0,0,0,0,0
PMT-009480,INV-27748,V1010,Logistics,BU_East,2023-02-08,6443.71,0,0,0,0,0,0,0,0
PMT-000998,INV-14088,V1080,Consulting,BU_North,2023-02-08,38314.63,0,0,1,0,0,0,0,0
PMT-010449,INV-39229,V1083,Consulting,BU_South,2023-02-08,41266.41,0,0,1,0,0,0,0,0
PMT-008817,INV-63460,V1015,Logistics,BU_South,2023-02-08,7466.1,0,0,1,0,0,0,0,0
PMT-011417,INV-70875,V1039,Office Supplies,BU_Central,2023-02-08,2227.79,0,0,0,0,0,0,0,0
PMT-010649,INV-41895,V1085,Logistics,BU_South,2023-02-08,5623.62,0,0,1,0,0,0,0,0
PMT-003678,INV-63329,V1038,IT Services,BU_West,2023-02-08,17633.04,0,0,0,0,0,0,0,0
PMT-000053,INV-22833,V1070,Consulting,BU_West,2023-02-08,45655.62,0,0,0,0,0,0,0,0
PMT-009762,INV-71598,V1094,IT Services,BU_South,2023-02-08,36011.85,0,0,1,0,0,0,0,0
PMT-011700,INV-14038,V1064,Office Supplies,BU_Central,2023-02-08,2710.73,0,0,0,0,0,0,0,0
PMT-010609,INV-47649,V1024,Facilities,BU_Central,2023-02-08,7079.75,0,0,0,0,0,0,0,0
PMT-005525,INV-50316,V1041,IT Services,BU_South,2023-02-08,35474.23,0,0,1,0,0,0,0,0
PMT-002583,INV-90117,V1066,Logistics,BU_Central,2023-02-08,3071.42,0,0,0,0,0,0,0,0
PMT-000727,INV-86638,V1098,Office Supplies,BU_South,2023-02-08,4410.07,0,0,1,0,0,0,0,0
PMT-004331,INV-82276,V1082,Logistics,BU_North,2023-02-08,7072.13,0,0,1,0,0,0,0,0
PMT-010610,INV-73117,V1086,IT Services,BU_South,2023-02-08,72918.84,0,0,1,0,0,0,0,0
PMT-008326,INV-68686,V1011,Office Supplies,BU_East,2023-02-08,637.17,0,0,0,0,0,0,0,0
PMT-014505,INV-98612,V1020,Facilities,BU_West,2023-02-08,4157.27,0,0,0,0,0,0,0,0
PMT-002160,INV-95166,V1048,IT Services,BU_Central,2023-02-08,35406.71,0,0,0,0,0,0,0,0
PMT-002989,INV-72872,V1092,IT Services,BU_South,2023-02-08,8739.51,0,0,1,0,0,1,1,0
PMT-009156,INV-50920,V1065,Logistics,BU_North,2023-02-08,6087.37,0,0,1,0,0,0,0,0
PMT-011312,INV-26402,V1018,Facilities,BU_West,2023-02-08,3012.12,0,0,0,0,0,0,0,0
PMT-003082,INV-50842,V1085,Consulting,BU_East,2023-02-08,14701.91,0,0,0,0,0,0,0,0
PMT-010514,INV-96183,V1028,Office Supplies,BU_East,2023-02-08,2282.32,0,0,0,0,0,0,0,0
PMT-009344,INV-66382,V1037,Facilities,BU_South,2023-02-08,7464.08,0,0,1,0,0,0,0,0
PMT-009853,INV-45383,V1038,Consulting,BU_West,2023-02-08,48958.81,0,0,0,0,0,0,0,0
PMT-006693,INV-71354,V1077,IT Services,BU_East,2023-02-08,38447.4,0,0,0,0,0,0,0,0
PMT-011723,INV-86716,V1052,IT Services,BU_Central,2023-02-08,69139.69,0,0,0,0,0,0,0,0
PMT-006706,INV-52240,V1021,Logistics,BU_East,2023-02-08,2701.79,0,0,0,0,0,0,0,0
PMT-000883,INV-40298,V1082,Facilities,BU_North,2023-02-08,2180.45,0,0,1,0,0,0,0,0
PMT-009776,INV-36971,V1035,IT Services,BU_North,2023-02-08,49771.35,1,0,1,0,1,1,2,1
PMT-012737,INV-54907,V1081,Consulting,BU_East,2023-02-08,43305.26,0,0,0,0,0,0,0,0
PMT-011510,INV-14876,V1000,Consulting,BU_West,2023-02-08,12472.28,0,0,0,0,0,0,0,0
PMT-000947,INV-77350,V1094,Facilities,BU_South,2023-02-08,8160.65,0,0,1,0,0,0,0,0
PMT-000323,INV-74764,V1080,Facilities,BU_South,2023-02-08,1901.81,0,0,1,0,0,1,1,0
PMT-001075,INV-51139,V1060,Facilities,BU_Central,2023-02-08,5346.75,0,0,0,0,0,0,0,0
PMT-008753,INV-68636,V1003,Consulting,BU_North,2023-02-08,31649.36,0,0,1,0,0,0,0,0
PMT-012053,INV-33115,V1006,IT Services,BU_West,2023-02-08,33082.71,0,0,0,0,0,0,0,0
PMT-000145,INV-41830,V1080,Consulting,BU_Central,2023-02-08,16467.44,0,0,0,0,0,0,0,0
PMT-007002,INV-19656,V1028,IT Services,BU_East,2023-02-09,53898.03,0,0,0,0,0,0,0,0
PMT-012296,INV-70409,V1078,Office Supplies,BU_South,2023-02-09,2342.61,0,0,1,0,0,0,0,0
PMT-011807,INV-95929,V1050,Logistics,BU_North,2023-02-09,9846.94,0,0,1,0,0,0,0,0
PMT-009802,INV-16393,V1040,Consulting,BU_West,2023-02-09,28662.32,0,0,0,0,0,0,0,0
PMT-013267,INV-49262,V1075,IT Services,BU_North,2023-02-09,61481.26,0,0,1,0,0,0,0,0
PMT-008812,INV-85479,V1033,Logistics,BU_North,2023-02-09,14287.36,0,0,1,0,0,0,0,0
PMT-004494,INV-97616,V1046,Consulting,BU_North,2023-02-09,20673.96,0,0,1,0,0,0,0,0
PMT-010793,INV-95275,V1081,IT Services,BU_Central,2023-02-09,14994.24,1,0,0,0,0,0,0,0
PMT-008799,INV-96705,V1053,Consulting,BU_Central,2023-02-09,11584.03,0,0,0,0,0,0,0,0
PMT-009812,INV-21846,V1012,Facilities,BU_West,2023-02-09,3418.01,0,0,0,0,0,0,0,0
PMT-010228,INV-47403,V1052,Consulting,BU_South,2023-02-09,32376.08,0,0,1,0,0,0,0,0
PMT-013759,INV-62044,V1075,IT Services,BU_East,2023-02-09,24844.96,0,0,0,0,0,0,0,0
PMT-005060,INV-81536,V1052,Consulting,BU_Central,2023-02-09,7427.89,0,0,0,0,0,0,0,0
PMT-006515,INV-28527,V1001,Consulting,BU_Central,2023-02-09,11742.4,0,0,0,0,0,0,0,0
PMT-006351,INV-34710,V1044,Facilities,BU_West,2023-02-09,5291.82,0,0,0,0,0,0,0,0
PMT-009084,INV-54711,V1007,Logistics,BU_West,2023-02-09,14770.38,0,0,0,0,0,0,0,0
PMT-002779,INV-65758,V1056,Office Supplies,BU_North,2023-02-09,1006.26,0,0,1,0,0,0,0,0
PMT-011248,INV-91608,V1032,Consulting,BU_East,2023-02-09,22948.57,0,0,0,0,0,0,0,0
PMT-011670,INV-33554,V1014,Logistics,BU_West,2023-02-09,8605.75,0,0,0,0,0,0,0,0
PMT-005206,INV-41220,V1038,Consulting,BU_East,2023-02-09,40304.72,0,0,0,0,0,0,0,0
PMT-001737,INV-65694,V1065,Logistics,BU_North,2023-02-09,9535.76,0,0,1,0,0,0,0,0
PMT-001380,INV-90352,V1039,Consulting,BU_Central,2023-02-09,36262.9,0,0,0,0,0,0,0,0
PMT-DUP-000136,INV-20413,V1044,Logistics,BU_North,2023-02-09,7852.23,1,0,1,1,1,1,3,1
PMT-010035,INV-30878,V1020,Logistics,BU_Central,2023-02-09,6820.19,0,0,0,0,0,0,0,0
PMT-011347,INV-12904,V1025,Consulting,BU_East,2023-02-09,40008.21,0,0,0,0,0,0,0,0
PMT-003442,INV-10746,V1031,Logistics,BU_South,2023-02-09,5503.61,0,0,1,0,0,0,0,0
PMT-002182,INV-85407,V1021,Facilities,BU_South,2023-02-09,7825.97,0,0,1,0,0,0,0,0
PMT-010037,INV-45379,V1042,Logistics,BU_South,2023-02-09,7571.97,0,0,1,0,0,0,0,0
PMT-001873,INV-68350,V1085,Office Supplies,BU_Central,2023-02-09,530.95,0,0,0,0,0,0,0,0
PMT-000703,INV-17266,V1046,Logistics,BU_West,2023-02-09,10293.26,0,0,0,0,0,0,0,0
PMT-002492,INV-87857,V1001,Consulting,BU_South,2023-02-09,34175.6,0,0,1,0,0,0,0,0
PMT-002166,INV-99650,V1014,Office Supplies,BU_East,2023-02-09,1761.51,0,0,0,0,0,0,0,0
PMT-009023,INV-67269,V1068,Facilities,BU_South,2023-02-09,8569.92,0,0,1,0,0,0,0,0
PMT-001558,INV-34018,V1080,IT Services,BU_Central,2023-02-09,19945.28,0,0,0,0,0,0,0,0
PMT-010019,INV-84288,V1013,Logistics,BU_North,2023-02-09,9114.83,0,0,1,0,0,0,0,0
PMT-011093,INV-70978,V1022,Consulting,BU_North,2023-02-09,44211.45,0,0,1,0,0,0,0,0
PMT-000121,INV-51904,V1042,IT Services,BU_East,2023-02-09,75534.39,0,0,0,0,0,0,0,0
PMT-000502,INV-76255,V1070,Office Supplies,BU_Central,2023-02-09,4428.26,0,0,0,0,0,0,0,0
PMT-012105,INV-18532,V1002,Consulting,BU_South,2023-02-09,6462.07,0,0,1,0,0,0,0,0
PMT-011742,INV-18455,V1080,Consulting,BU_Central,2023-02-09,30939.81,0,0,0,0,0,0,0,0
PMT-013535,INV-89937,V1051,Consulting,BU_East,2023-02-09,36982.71,0,0,0,0,0,0,0,0
PMT-013702,INV-63194,V1020,Facilities,BU_South,2023-02-09,6008.81,0,0,1,0,0,0,0,0
PMT-012572,INV-26520,V1084,Consulting,BU_Central,2023-02-09,31228.81,0,0,0,0,0,0,0,0
PMT-013255,INV-47412,V1037,Consulting,BU_Central,2023-02-09,18970.88,0,0,0,0,0,0,0,0
